BinID	OTU	AC	logrrn	initial_RA	mean_immediacy	mean_log_Kow	mean_bioA	n_Sub	maxl2fc	Phylum	Class	Order	Family	Genus	Substrate_incorp_on_day	Level	Taxa	Treatment
Glucose_Day01_bin.1	OTU.609	10	1.60853427168841	0.016343	0.549306144334055	-2.55	46.5	2	1.83408588685113	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	13C-Glu_D1, 13C-Glu_D3, 13C-Xyl_D6, 13C-Glu_D14, 13C-Xyl_D14	Family	Burkholderiaceae	Glucose Day 1
Glucose_Day01_bin.1	OTU.117	10	1.52280545348748	0.016343	0.486477537263828	-1.2	45	4	2.91043698632748	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	NA	13C-Glu_D1, 13C-Glu_D3, 13C-Xyl_D3, 13C-Lac_D6, 13C-Xyl_D6, 13C-Glu_D14, 13C-Oxa_D14, 13C-Xyl_D14	Family	Burkholderiaceae	Glucose Day 1
Glucose_Day01_bin.1	OTU.29	27	1.57980942058833	0.010896	-0.0628286070702265	-1.23625	45.25	4	6.65487025093491	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	13C-Ami_D1, 13C-Glu_D1, 13C-Lac_D1, 13C-Lac_D6, 13C-Oxa_D14	Family	Burkholderiaceae	Glucose Day 1
Xylose_Day06_bin.1	OTU.14187	4	1.57378182505996	0	1.24588987276112	-1.93333333333333	46	3	5.42007540867167	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	13C-Lac_D3, 13C-Xyl_D6, 13C-Glu_D14	Genus	Pseudomonas	Xylose Day 6
Xylose_Day06_bin.1	OTU.1	10	1.5974621032695	0.04903	1.29823921272255	1.525	42	4	8.42627342747961	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	13C-Xyl_D3, 13C-Xyl_D6, 13C-Oxa_D14, 13C-Xyl_D14, 13C-Van_D30, 13C-Pal_D48	Genus	Pseudomonas	Xylose Day 6
Xylose_Day06_bin.1	OTU.752	10	1.38752434829152	0.010896	1.05959847209765	-0.880625	43.125	8	7.70132208357294	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	13C-Lac_D1, 13C-Xyl_D3, 13C-Xyl_D6, 13C-Ami_D14, 13C-Glu_D14, 13C-Gly_D14, 13C-Oxa_D14, 13C-Pal_D14, 13C-Xyl_D14, 13C-Cel_D30, 13C-Pal_D48	Genus	Pseudomonas	Xylose Day 6
Glucose_Day14_bin.1	OTU.7258	4	1.79175595691189	0.005448	2.63905732961526	-2.6	47	1	1.68792594310105	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	13C-Glu_D14	Genus	Streptomyces	Glucose Day 14
Glucose_Day14_bin.1	OTU.13376	4	1.79175653509546	0	0.202732554054082	-2.2	46.5	2	5.69057522059997	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	13C-Glu_D1, 13C-Gly_D3, 13C-Glu_D14	Genus	Streptomyces	Glucose Day 14
Glucose_Day14_bin.1	OTU.9112	4	1.79175575579793	0	1.52226121886171	-2.55	46.5	2	4.64637570298674	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	13C-Xyl_D3, 13C-Glu_D14	Genus	Streptomyces	Glucose Day 14
Glucose_Day14_bin.1	OTU.896	4	1.79175817246923	0.147091	0.549306144334055	-3.4	42.5	2	0.53144964248221	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	13C-Glu_D1, 13C-Glu_D3, 13C-Glu_D14, 13C-Cel_D30	Genus	Streptomyces	Glucose Day 14
