treatment	OTU	Phylum	Class	Order	Family	Genus	Maximum log2 fold change	C source bioavailability	C assimilation Latency
Glucose Day 1	OTU.10939	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	4.4102727261102	47	0
Glucose Day 1	OTU.11	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	2.13200237931762	43.25	0.909101871556908
Glucose Day 1	OTU.11468	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	2.90139601033033	47	0
Glucose Day 1	OTU.11629	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	uncultured_bacterium	3.92873275475404	47	0
Glucose Day 1	OTU.117	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	NA	2.91043698632748	45	0.486477537263828
Glucose Day 1	OTU.11769	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	7.27277983243727	47	0
Glucose Day 1	OTU.12152	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	6.23459794259194	47	0
Glucose Day 1	OTU.12209	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	3.52061423894067	47	0
Glucose Day 1	OTU.123	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	NA	3.17597687573125	44.25	0.650672421361096
Glucose Day 1	OTU.12626	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	6.77850718971677	47	1.31952866480763
Glucose Day 1	OTU.1275	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	2.80190301830066	46.3333333333333	1.01484081257447
Glucose Day 1	OTU.12810	Firmicutes	Bacilli	Bacillales	Planococcaceae	Paenisporosarcina	6.31712405427836	43.2857142857143	1.07776172972196
Glucose Day 1	OTU.13320	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	1.79354778430773	47	0
Glucose Day 1	OTU.13376	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	5.69057522059997	46.5	0.202732554054082
Glucose Day 1	OTU.13615	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	7.85735535093347	46	0
Glucose Day 1	OTU.2171	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	2.11640723912158	45.6	1.47563509762262
Glucose Day 1	OTU.23	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	NA	4.24217960323473	44.6	0.219722457733622
Glucose Day 1	OTU.24	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	2.08324403381137	43.25	1.19692500818116
Glucose Day 1	OTU.246	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	4.22494886661054	46.5	0.202732554054082
Glucose Day 1	OTU.277	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	6.98678036995435	47	0
Glucose Day 1	OTU.2894	Actinobacteria	Micrococcales	Sanguibacteraceae	Sanguibacter	NA	0	46.5	0.972955074527657
Glucose Day 1	OTU.29	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	6.65487025093491	45.25	-0.0628286070702265
Glucose Day 1	OTU.2999	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium	1.93565267954071	47	0
Glucose Day 1	OTU.31	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	NA	6.00391084262586	43.6666666666667	0.732408192445407
Glucose Day 1	OTU.396	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter	NA	3.49147384444945	46	0.366204096222703
Glucose Day 1	OTU.4033	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	1.37945047231459	47	0
Glucose Day 1	OTU.491	Firmicutes	Bacilli	Bacillales	Planococcaceae	Incertae_Sedis	5.02324618879491	46.5	0.202732554054082
Glucose Day 1	OTU.500	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	5.5002616258071	46	0
Glucose Day 1	OTU.515	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	0	42.4	0.456476477135305
