feature	Activity characteristic	Pearson r	t statistic	df	pvalue	adj_pvalue
SMBCs	Mean C source bioavailability	0.639401362387245	2.03701626097192	6	0.0878064427136478	0.387528127979099
SMBCs	Mean maximum log2 fold change	0.625943952250237	1.96602912393568	6	0.0968820319947748	0.387528127979099
SMBCs	Mean C assimilation latency	-0.315300155849347	-0.813836680934073	6	0.446825280933707	1
MCP genes	Mean C source bioavailability	0.553240601718076	1.62679734251181	6	0.154904622794523	0.413078994118729
MCP genes	Mean maximum log2 fold change	0.938371822967128	6.65031748467315	6	0.000558450907543376	0.004467607260347
MCP genes	Mean C assimilation latency	-0.691693598857428	-2.34604996851563	6	0.0573673772731308	0.229469509092523
transporter genes	Mean C source bioavailability	0.955080173257607	7.8943092022601	6	0.000219031595818764	0.00175225276655011
transporter genes	Mean maximum log2 fold change	0.456653360268503	1.25731959112961	6	0.255361952038204	1
transporter genes	Mean C assimilation latency	-0.0057542796080031	-0.0140952822384585	6	0.989210963900347	1
transcription factor genes	Mean C source bioavailability	0.795324817727776	3.21377930416456	6	0.0182797920070427	0.146238336056342
transcription factor genes	Mean maximum log2 fold change	0.722609390412511	2.56058940121697	6	0.0428746459519907	0.171498583807963
transcription factor genes	Mean C assimilation latency	-0.354633507781545	-0.929054689011032	6	0.388709303579996	1
adhesion genes	Mean C source bioavailability	-0.642292584322457	-2.05267075704788	6	0.085923754826567	0.395435052246757
adhesion genes	Mean maximum log2 fold change	0.373216649656566	0.985390518517287	6	0.362485361593572	0.966627630916192
adhesion genes	Mean C assimilation latency	-0.623110375057781	-1.95145926250612	6	0.0988587630616894	0.395435052246757
osmotic stress genes	Mean C source bioavailability	0.954218333451519	7.81431728727093	6	0.000231729915155192	0.00185383932124153
osmotic stress genes	Mean maximum log2 fold change	0.11644600820267	0.287187029337805	6	0.783629417968872	1
osmotic stress genes	Mean C assimilation latency	0.347062658055039	0.906470889588176	6	0.399624918460373	1
dormancy genes	Mean C source bioavailability	0.517390975037077	1.48097595102684	6	0.189116078065157	0.504309541507087
dormancy genes	Mean maximum log2 fold change	0.763428714459652	2.89523717798783	6	0.0275048688449908	0.220038950759926
dormancy genes	Mean C assimilation latency	-0.520530253697339	-1.49328761775577	6	0.185973506462358	0.504309541507087
secreted enzyme genes	Mean C source bioavailability	-0.729709974592786	-2.61411237789087	6	0.0398998199164305	0.319198559331444
secreted enzyme genes	Mean maximum log2 fold change	-0.083626782755529	-0.205563003852392	6	0.843929297053965	1
secreted enzyme genes	Mean C assimilation latency	-0.217153696370158	-0.544918920570083	6	0.605455791351762	1
