BinID	Treatment	Domain	Phylum	Class	Order	Family	Genus	Species	completeness	contamination	GC	CheckM_lineage	N50	size	total_genes	n_chemotaxis	n_transport	n_transfact	n_osmostress	n_dormancy	n_secenzy	n_adhesion	n_SMBCs	bioA	maxl2fc	immediacy
Glucose_Day01_bin.1	Glucose Day 1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia	Caballeronia glathei	58.17	2.891	0.652	Burkholderia	1790	4164767	5705	5	207	446	39	4	35	0	15	45.5833333333333	3.79979770803784	0.324318358175886
Xylose_Day06_bin.1	Xylose Day 6	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E		62.04	1.754	0.626	Bacteria	2359	3937790	4906	40	190	368	24	1	50	0	16	43.7083333333333	7.18255697324141	1.20124251919377
Glucose_Day14_bin.1	Glucose Day 14	Bacteria	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces fungicidicus_A	67.5	0.429	0.723	Streptomycetaceae	3397	5070684	5865	0	111	466	21	2	110	0	44	44.9666666666667	2.69117622843188	1.08943770559365
Glucose_Day14_bin.2	Glucose Day 14	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae			52.04	6.451	0.699	Deltaproteobacteria	2716	5409766	6361	5	87	230	11	0	100	0	39	41.4	1.10947440346424	0.984287943058357
Glycerol_Day14_bin.1	Glycerol Day 14	Bacteria	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces fungicidicus_A	64.24	0.429	0.72	Streptomycetaceae	3424	4879381	5827	0	104	472	18	2	103	0	37	44.65	2.53924254994712	0.946098632853693
Cellulose_Day30_bin.1	Cellulose Day 30	Bacteria	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces fungicidicus_A	52.37	1.072	0.727	Streptomycetaceae	3398	4045674	4591	0	96	367	16	1	87	0	36	43.1666666666667	1.1866740139028	1.07395323229235
Cellulose_Day30_bin.10	Cellulose Day 30	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Planctomycetaceae			54.7	0	0.641	Bacteria	3760	3490843	3677	0	53	108	5	3	71	0	3	37.98	3.6485339952962	1.08190256252715
Cellulose_Day30_bin.2	Cellulose Day 30	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavihumibacter	Flavihumibacter solisilvae	63.29	1.778	0.476	Bacteroidetes	5042	3297795	3351	0	88	152	7	0	157	0	4	39.6666666666667	6.52706389345419	0.732408192445406
Cellulose_Day30_bin.4	Cellulose Day 30	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus		65.29	0.445	0.687	Bacteria	4960	5752728	5818	2	70	171	6	4	119	0	3	37.8392857142857	3.40084118275267	1.07167602473435
Cellulose_Day30_bin.5	Cellulose Day 30	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter radicis	73.62	2.088	0.692	Alphaproteobacteria	4430	3859047	4355	22	112	241	20	5	180	1	2	39.3571428571428	2.95433361087349	0.964692920294858
