Bin_1	Bin_2	n_contigs_shared	length_shared	Bin_1_shared_contig_perc	Bin_1_shared_length_perc	Bin_2_shared_contig_perc	Bin_2_shared_length_perc	tax_shared
PalmiticAcid_Day48_bin.4	PalmiticAcid_Day30_bin.7	737	3346471	96.7191601049869	97.8281466280203	70.3915950334288	82.103048621913	Same
Glycerol_Day14_bin.1	Glucose_Day14_bin.1	1413	4485369	92.5950196592398	91.9249593339811	88.3677298311445	88.45688274008	Same
Cellulose_Day30_bin.1	Glucose_Day14_bin.1	1177	3810256	91.3819875776398	94.1809943163982	73.6085053158224	75.1428406897373	Same
PalmiticAcid_Day30_bin.6	Cellulose_Day30_bin.8	802	2935892	90.8267270668177	93.4867940269421	57.9061371841155	66.2087510621754	Same
PalmiticAcid_Day48_bin.1	Cellulose_Day30_bin.4	794	3942188	85.8378378378378	90.4899630252965	57.7874818049491	68.5272795793578	Same
PalmiticAcid_Day30_bin.1	Cellulose_Day30_bin.5	971	3805461	83.779119930975	87.1569370006117	97.2945891783567	98.6114188295711	Same
Vanillin_Day48_bin.1	Cellulose_Day30_bin.7	2017	6092024	82.1254071661238	86.4084767346235	58.3791606367583	74.1392722404771	Same
Cellulose_Day30_bin.1	Glycerol_Day14_bin.1	1047	3380253	81.2888198757764	83.552283253668	68.610747051114	69.2762668051542	Same
PalmiticAcid_Day30_bin.4	Cellulose_Day30_bin.2	486	2386628	68.3544303797468	81.8690597517749	65.4104979811575	72.3704172030099	Same
PalmiticAcid_Day30_bin.5	Cellulose_Day30_bin.10	804	2931683	57.3057733428368	64.4839963636948	80.4804804804805	83.9820925776381	Different
PalmiticAcid_Day48_bin.2	PalmiticAcid_Day30_bin.5	814	2732002	50.7481296758105	62.8955313356266	58.0185317177477	60.0919018303162	Same
PalmiticAcid_Day48_bin.2	Cellulose_Day30_bin.10	552	2049041	34.4139650872818	47.1725578617745	55.2552552552552	58.697598259217	Different
PalmiticAcid_Day48_bin.1	Cellulose_Day30_bin.1	7	21292	0.756756756756757	0.488741859275766	0.543478260869565	0.52629055133953	Different
PalmiticAcid_Day48_bin.1	Glucose_Day14_bin.1	4	12893	0.432432432432432	0.295949126039942	0.250156347717323	0.254265499486854	Different
PalmiticAcid_Day48_bin.1	Glycerol_Day14_bin.1	3	9090	0.324324324324324	0.208654118956261	0.196592398427261	0.186294122143772	Different
Cellulose_Day30_bin.4	Glucose_Day14_bin.1	4	12201	0.291120815138282	0.212090681151621	0.250156347717323	0.240618425443195	Different
Cellulose_Day30_bin.4	Glycerol_Day14_bin.1	3	9529	0.218340611353712	0.165643152257503	0.196592398427261	0.195291165006381	Different
PalmiticAcid_Day30_bin.9	Cellulose_Day30_bin.8	1	1638	0.123609394313968	0.0895798116198907	0.0722021660649819	0.0369393473056377	Different
PalmiticAcid_Day48_bin.3	Glucose_Day14_bin.2	1	1954	0.103092783505155	0.0505994113998868	0.0486381322957198	0.0361198617463306	Different
PalmiticAcid_Day30_bin.1	Cellulose_Day30_bin.1	1	1528	0.0862812769628991	0.0349959701957095	0.077639751552795	0.0377687376689274	Different
Cellulose_Day30_bin.6	Glucose_Day14_bin.1	1	1764	0.0596658711217184	0.0359477510442985	0.0625390869293308	0.0347882060881727	Different
