Dataset	Genome_ID	n_16S	n_tRNA	total_genes	n_MCP	n_transporter	n_transfact	n_osmostress	n_SMBC	accessions
RefSoil	RefSoil_764	8	81	4927	0	218	432	11	5	NC_021066.1
RefSoil	RefSoil_609	3	38	1788	0	79	46	0	2	NC_017450.1
RefSoil	RefSoil_885	8	86	4805	8	210	387	7	2	NZ_CP007557.1
RefSoil	RefSoil_804	8	81	4735	0	206	427	8	3	NC_022566.1
RefSoil	RefSoil_552	7	75	4451	6	191	323	11	2	NC_016831.1
RefSoil	RefSoil_372	8	86	5038	0	215	459	10	4	NC_013850.1
RefSoil	RefSoil_234	7	87	4388	3	186	349	6	3	NC_010473.1
RefSoil	RefSoil_1	7	88	4305	4	182	338	6	2	NC_000913.3
RefSoil	RefSoil_914	8	83	5369	0	226	481	10	4	NZ_CP008841.1
RefSoil	RefSoil_426	7	82	4390	8	184	358	7	6	NC_014618.1
RefSoil	RefSoil_341	7	87	4256	4	178	312	6	2	NC_012971.2
RefSoil	RefSoil_339	7	87	4283	4	179	319	6	2	NC_012947.1
RefSoil	RefSoil_329	8	86	4787	0	200	420	9	4	NC_012731.1
RefSoil	RefSoil_141	5	64	2233	0	93	162	0	2	NC_008497.1
RefSoil	RefSoil_195	8	86	4875	0	203	437	9	3	NC_009648.1
RefSoil	RefSoil_340	7	87	4306	4	179	317	6	2	NC_012967.1
RefSoil	RefSoil_845	8	86	4877	0	202	431	8	4	NZ_CP003999.1
RefSoil	RefSoil_531	8	87	5429	0	224	489	10	6	NC_016612.1
RefSoil	RefSoil_558	7	86	4460	6	183	333	10	2	NC_016863.1
RefSoil	RefSoil_21	7	86	4510	6	185	335	10	2	NC_003197.1
RefSoil	RefSoil_275	7	87	4444	7	182	319	10	2	NC_011149.1
RefSoil	RefSoil_526	8	84	4421	10	181	375	12	4	NC_016514.1
RefSoil	RefSoil_68	7	83	4337	5	176	316	10	2	NC_006511.1
RefSoil	RefSoil_556	7	86	4539	6	184	338	10	2	NC_016857.1
RefSoil	RefSoil_570	7	83	4571	6	185	339	10	2	NC_017046.1
RefSoil	RefSoil_555	7	86	4528	6	183	337	10	2	NC_016856.1
RefSoil	RefSoil_129	3	38	2029	0	82	48	0	2	NC_008245.1
RefSoil	RefSoil_884	8	85	4213	10	170	349	12	5	NZ_CP007546.1
RefSoil	RefSoil_870	4	55	2678	0	108	147	1	7	NZ_CP007208.1
RefSoil	RefSoil_272	7	84	4410	6	177	318	10	2	NC_011094.1
RefSoil	RefSoil_557	7	84	4643	6	186	344	10	3	NC_016860.1
RefSoil	RefSoil_554	7	88	4554	6	182	340	10	2	NC_016854.1
RefSoil	RefSoil_233	7	88	4381	4	175	326	6	2	NC_010468.1
RefSoil	RefSoil_208	7	83	4257	8	170	323	12	6	NC_009792.1
RefSoil	RefSoil_276	7	85	4580	6	182	337	10	2	NC_011205.1
RefSoil	RefSoil_653	8	80	4585	12	182	377	12	6	NC_018079.1
RefSoil	RefSoil_270	7	88	4488	6	178	328	10	2	NC_011080.1
